C:\Users\Roman\Desktop\РНФ по разработке Цитометра\SPI_2019\SFM_Danil_autofluorescence\B16-F10\Live\200mW_B16-F10_live(77%)_autofluorescence_10.daf
single_cells

Object Number	Intensity_MC_Ch02
0	9913,918103448
1	13658,3246268658
2	22749,1730769224
3	6791,11088709694
4	11139,75
5	12063,9750000002
6	12561,9142156865
7	11849,105392157
8	9836,04449152555
9	10522,1710526315
10	20942,2727272728
11	7542,12045454554
12	10928,0280172416
13	23914,0714285712
14	12618,4708333338
15	20325,0961538457
16	14133,6370192304
17	15082,2794117645
18	21141,0264423082
19	16621,7669491522
20	16239,5
21	23962,2696078437
22	22542,7181372548
23	26556,2435344835
24	21910,5362318849
25	11611,3159090912
26	7374,74038461545
27	26594,7755681822
28	5257,01715686264
29	14415,2585227276
30	13636,9907407412
31	8901,4874999997
32	14134,6225961535
33	10318,370689655
34	6761,8157894736
35	7112
36	8958,37499999987
37	19604,4480769237
38	57024,0481927698
39	6967,53813559303
40	14473,0892857146
41	14371,6299999998
42	21630,8666666672
43	15826,5272727277
44	15591,05859375
45	16813,5746527787
46	12973,4423076925
47	11531,6207627116
48	15497,8806818179
49	19965,266544118
50	35269,3125
51	6713,3977272728
52	12557,8333333337
54	11255,3413461542
55	31674,932432434
56	12412,8181818184
57	18442,3370535714
58	12522,7727272725
59	6968,1875
60	23643,2016129037
61	2968,10294117657
62	11057,684322034
63	36560,3333333331
64	9171,38157894756
65	14211,4821428577
66	13269,2650862065
67	21485,8333333338
68	15833,7499999994
69	12529,305084746
70	12239,9310344832
72	8781,96527777748
73	16495,0895833331
74	23707,6153846164
75	24800,7731481489
76	13602
77	12780,2729166665
78	8380,00862068958
79	9276,27403846126
80	18098,4741379304
81	7477,35096153886
82	9314,72115384605
83	12723,9354838711
85	49689,5967741984
86	932,234693877557
87	22817,0833333325
88	8158,53232758599
89	33332,9253731334
90	14610,8173076919
91	11811,640625
92	16716,8333333333
93	21326,84375
94	10243,6388888887
95	17003,9166666668
96	12059,2727272729
97	37435,5683139518
98	10821,6052631581
99	15038,21875
100	28696,7924999986
101	15155,1544117643
102	13422,1991525426
103	15910,0503731345
104	12339,3155737702
105	15440,0166666665
106	7847,22245762689
107	12501,7041666664
108	32152,813311687
109	15650,2000000004
110	14717,8235294114
111	14417,4830508472
112	22499,9669117641
113	13412,2956730768
114	11358,8749999996
115	21685,6799999998
117	13598,0723684211
118	22541,4616935491
119	3145,13157894747
121	15998,8166666674
122	11273,0625
123	1444,27586206894
124	11823,0909090912
125	22862,2312499997
126	17755,5593220334
127	32626,9204545468
128	8560,92584745775
129	15842,1271186436
130	4374,69186046509
131	10548,7307692306
132	12764,0517241377
133	14307,9600000007
134	15637,5762711858
135	8648,23214285718
136	11549,3576388887
137	7721,70192307679
138	11445,119565217
139	18081,9333333337
140	19809,1578947361
141	14134,8093220337
142	23411,1865671639
143	19348,09375
144	11159,5000000001
145	18687,1490384623
