C:\Users\Roman\Desktop\РНФ по разработке Цитометра\SPI_2019\SFM_Danil_autofluorescence\C2C12\Live\200mW_C2C12_live_autofluorescence_1.daf
single_cells

Object Number	Intensity_MC_Ch02
0	40881,4255319146
1	108444,775735299
2	64723,1125000004
3	19297,1524999997
4	188445,496323521
6	22814,0546875
7	95410,8250000042
8	33047,2727272728
9	56016,4982638861
11	12009,3149038465
12	15896,439189189
13	56540,5277777789
15	18387,5
16	66000,5818965524
17	2397,00000000005
18	416761,875
19	33681,2259615392
20	15699,2127659575
21	6776,27499999991
22	108197,514705878
23	183027,3984375
24	85534,45703125
25	3439,56976744183
26	47817,9090909087
27	151791,934374993
28	197943,37500001
29	79479,8072033901
30	51157,185546875
31	33506,0550847458
32	91275,4374999982
33	47850,4921875
34	95754,8955223916
35	12750,2644230771
36	132604,796875
37	143814,630597018
38	18599,896929824
39	49647,1271186435
40	39257,2666666675
41	81650,3999999977
42	60174,966796875
43	23310,9999999998
44	2067,5392156863
45	80470,0775862088
46	77584,7020833321
47	122281
48	42915,1707317056
49	67110,8771929822
50	43414,6673076915
51	70965,0021551737
52	6042,60294117657
53	75990,7892857149
54	77292,5979166656
55	81458,9999999985
56	77079,0307692294
57	228305,446666684
58	8531
59	9703,18872549036
60	140431,233333331
61	38623,495192308
62	106457,920955884
63	108301,778409092
64	26239,801136364
65	67745,0441176461
67	9535,76388888873
68	7447,52777777766
69	26478,9261363639
70	190132,408783796
71	76380,8979591867
72	35959,0669642863
73	60414,8894230775
74	93177,9534883717
75	27072,1420454557
76	32104,40086207
77	54412,9495192313
78	106740,763636363
79	136896,282786885
80	135832,961538457
81	19754,019230769
82	150238,062499999
83	156598,620901642
84	85237,118421049
85	231806,081730749
86	94476,9285714276
87	120787,840909087
88	4758,8173076923
89	116760,98550725
90	87619,8788461534
91	68842,752118646
92	89982,8983050863
93	58281,7211538448
94	89122,3922413767
95	156487,700000006
96	16779,9602272726
97	35933,7499999992
98	81741,9677419338
99	66414,6666666673
100	6507,2475961539
101	35632,6562500017
102	27061,7112068976
103	73962,6458333341
104	162945,62019231
106	168915,005859375
107	51653,822368421
108	92311,4375
109	58894,254237287
110	69797,0681818173
111	67854,4863636366
112	71630,5698529434
113	78013,3485576936
114	166083,388513506
115	176593,500000004
116	269676,469178069
117	27491,7698412699
118	41063,305921051
119	59023,5070422503
120	166022,012345668
121	83992,8526119426
122	82250,570833332
123	8004,36734693899
124	93643,9375
125	15107,8389423074
126	113617,472727271
127	36956,7066326523
128	13676,627906977
129	9196,37999999979
130	154798,862499993
131	141165,585616437
132	42216,7124999994
133	14621,308823529
134	123144,395522389
135	208445,71875
136	59778,2770270295
137	119648,34464286
138	9937,35227272724
139	141256,181985287
140	15139,5535714289
141	42430,0397727277
142	63285,3000000008
143	25312,2788461545
144	69634,8448275856
