C:\Users\Roman\Desktop\РНФ по разработке Цитометра\SPI_2019\SFM_Danil_autofluorescence\L929\Live\200mW_L929_live(95%)_autofluorescence_1.daf
single_cells

Object Number	Intensity_MC_Ch02
0	69527,0333333317
1	25480,3939393949
2	51321,7426470607
3	20887,1562499997
4	10926,1116071433
5	46012,1086956526
6	11908,921875
7	13597,3999999997
8	25502,5153846147
9	19860,9312499992
10	18078,2288135596
11	15084,7775423725
12	22421,550847458
13	63364,2788461563
14	23989,471153847
15	15203,5000000002
16	16988,7098214282
17	11758,3750000004
18	27834,8605769225
19	39422,7164179081
20	26183,5000000007
21	32644,8208333338
22	21384,5539772733
23	17063,9705882353
24	19148,7521551722
25	23236,0390625
26	59757,7738095245
27	20059,1644736833
28	25129,0395833318
29	30814,5070422545
30	15370,4186046515
33	22031,9499999992
34	18925,5250000003
35	43474,8020833321
36	27745,8320895516
37	43323,4779411748
38	16513,0432692307
39	26719,1500000002
40	10875,4817073171
41	13328,3874999996
42	67483,2598684181
43	15860,6990740744
44	21904,78125
45	13921,9663461542
46	20502,7583333336
47	33131,1551724133
48	13010,6499999998
49	18071,4624999999
50	24151,9937500008
51	18558,0588235291
52	25071,050000001
53	30077,1634615373
54	84303,5189393931
55	28734,3897058821
56	18019,1538461538
57	29629,140625
58	13949,301785714
59	28291,4374999983
60	24305,7172131153
61	20571,7979166669
62	40566,4687499989
63	59171,7556818191
64	60963,8235294147
65	18078,6658653843
66	16716,6153846155
67	25871,7944915247
68	33156,5729166664
69	13353,2025862064
70	30796,7833333339
71	20731,0476190464
72	24790,8772321425
73	20338,9519230772
74	13884,8583333331
75	59712,0671641766
76	9516,86842105255
77	18936,3942307688
78	37063,4266304357
79	19028,7318181815
80	16125,7023809521
81	42930,7039473672
82	55245,2359154943
83	33425,3846153849
84	17775,3706896548
85	11618,3928571431
86	22007,875
87	25866,398305085
89	14919,5625
90	15257,3375000005
91	15571,488805969
92	22374,0543478254
93	39282,8946428584
94	18160,0000000003
95	51594,3028846168
96	74485,593750004
97	30833,6609589043
98	27926,6953125
100	28815,1822033886
101	22706,4194915257
102	18005,3545081971
103	20775,1568181821
104	3756,34635416675
105	13937,3362068963
106	29903,2648305089
107	30400,8461538445
108	23665,375
109	12047,8508771929
110	23150,8958333336
111	16119,7999999995
112	20884,5035211277
113	35664,3529411775
114	39844,3177966095
115	77809,2794117683
116	13280,1442307694
117	56196,1999999988
118	24385,9166666662
119	24333,7481060614
120	24161,3894230774
121	14963,7548076927
122	20315,3448275861
123	9458,70588235312
124	26499,7708333327
125	21515,7779850749
126	53558,3689516153
127	16631,6679104479
128	15600,0144230771
130	17152,3552631576
131	23309,6269230776
132	25245,5789473672
133	12203,7807017547
134	53763,6458333354
135	46405,9851694913
136	28875,7272727264
137	14605,2708333338
138	17038,4326923079
139	25752,1730769225
140	26255,9907407401
141	27214,1800847449
142	39348,3684210515
143	34483,5075757595
144	37089,7666666657
145	29748,8232758614
146	9668,25000000001
147	28968,0076923072
148	18574,50390625
149	11947,4191176469
150	23910,4999999996
152	32202,5526315782
153	12446,1607142861
154	17734,2784090911
155	20948,985074627
156	22354,2536764716
157	21634,4999999989
159	31567,0430327874
160	26769,5671641796
161	27667,0208333341
162	40901,8249999989
163	21225,75
164	60662,2123287646
165	80194,3874999976
166	31333,0250000003
168	10461,1479591838
169	84685,3783783823
170	21291,4250000007
171	11949,9664179102
172	45089,1452205893
174	14953,7573529409
175	15100,0277777775
176	24336,7784090919
177	21350,4543269228
178	16848,8437500003
179	51315,9999999986
180	36283,52631579
181	30606,1488970571
182	20373,0921052628
183	18895,8153846149
184	32880,5000000004
185	19270,53125
187	25510,6214788739
188	50550,6875
189	13610,8491379313
190	16985,4615384615
191	64180,1971830938
192	13647,0625000003
193	46013,1416666675
194	50969,4423076946
195	49595,75
196	28911,3000000019
197	15118,980769231
198	15005,4237804875
199	38766,3264925384
200	50336,0000000013
201	12005,8196721315
202	25936,1465517236
203	16759,1562500003
204	53158,8475274712
205	39606,4176136362
206	23713,4521276592
207	11298,0125000004
208	68011,0673076951
209	37039,8792372885
210	15328,7996031743
211	86748,875
212	18908,4807692306
213	10223,378787879
214	17421,7302631571
215	42957,9000000007
216	20883,6384615391
217	17776,551724138
218	21843,483870967
220	37065,4158653842
221	33778,4000000006
222	28903,4588815777
223	23015,9918831184
224	20521,6365384623
225	30261,2903225802
226	26831,0833333338
227	31361,0317164186
228	18607,125
229	12525,8878676463
230	18088,4855769237
231	27651,0769230775
232	26109,3656716414
233	17035,8545454539
235	26788,703125
236	24344,52734375
237	11518,3249999998
238	73935,4306722709
239	45361,4209558804
240	52848,8798076905
241	30106,7670454536
242	26925,9326923082
243	19173,8103448274
244	13507,1826923073
245	22646,813636364
246	8742,61029411785
247	59698,7407407415
248	18770,7358490563
250	31022,5144230779
251	17321,3823529414
252	27539,7083333338
253	15810,375
254	31906,2443181814
