C:\Users\Roman\Desktop\РНФ по разработке Цитометра\SPI_2019\SFM_Danil_autofluorescence\RAW\Live\200mW_RAW_live_autofluorescence_1.daf
single_cells

Object Number	Intensity_MC_Ch02
0	42486,262500003
2	17141,875
3	18244,373134329
4	42262,8582089544
5	20954,5376984126
6	14808,1730769232
7	14839,80859375
8	19412,4358974362
9	5668,46323529425
10	16271,6419491531
11	25291,634765625
12	28145,181034483
13	19134,416666667
14	20972,7352941181
15	24078,6458333327
16	25477,0576923073
17	14283,2222222215
18	16290,5349999992
19	10596,96875
20	40242,5549242427
21	14270,4407894735
22	24682,0823863641
23	22427,0294117658
24	44780,1758474578
25	16786,6357758617
26	61176,0192307708
28	19540,8658536589
29	28505,5340909083
30	28775,0000000015
31	30965,965517241
32	12823,2938596488
33	29198,7644230762
34	11661,44
35	75227,8474576277
36	17400,7187499998
37	17933,3220338979
38	13483,4645833331
39	13135,2272727274
40	31922,1800847456
41	28071,1704545468
42	25809,5933098595
43	38439,79435484
44	26284,9431818188
45	23537,2331730775
46	12048,6022727272
47	31653,9210526323
48	12262,1274509803
49	35566,6730769226
50	18665,1400862066
51	2086,40848214282
52	18574,2349137925
53	30443,0402542362
54	29522,1153846157
55	28691,4772727279
56	17446,8928571422
57	38992,4062499995
58	19064,5461538464
59	14198,5000000004
60	12742,5350000002
61	38029,6517857155
62	28379,3729166664
63	36767,2800925918
64	20340,8214285717
65	22022,6931818186
68	10640,0872641508
69	17529,909090909
70	23188,0721153842
71	2938,53731343266
72	32822,1409090903
73	91202,0439189133
74	28272,6038461545
75	24999,5
76	25633,4854166655
77	13244,3275862073
78	23153,9880952375
79	16644,1610576921
80	28820,9375
82	20183,1184210528
83	20929,0187500005
84	54481,4619565197
85	30664,4836065563
86	15193,4999999996
89	6782,45170454541
90	43183,9003623203
91	16773,1954545453
92	12921,8173076928
93	29733,845588235
94	34060,2564655163
95	15186,2833333335
96	26634,3548387099
97	21478,6057692312
98	21607,1818181821
99	37798,2670454536
100	25615,28125
101	20108,9333333346
102	22332,0124999993
103	16294,9567307694
104	11198,5882352944
106	17607,3918269232
107	1438,15909090905
108	23296,2596153853
109	15434,3571428569
110	28361,8823529405
111	12016,8181818178
112	13019,2884615389
113	15424,3363636365
114	22408,913306451
115	42206,0211864404
116	23686,3921568631
117	11445,8571428572
118	38994,639925374
119	11057,3317307689
120	16191,5762711864
121	52139,1809210513
122	27040,6287878786
124	29034,6153846161
125	18475,614035088
127	1151,5657894737
128	19834,1477272724
129	15176,2666666668
130	32104,268656718
131	27841,6166666663
132	19762,9099999996
133	15945,7500000001
134	346,113636363644
135	31324,3559322032
136	51973,7083333347
137	72681,5937500051
138	37999,7025862074
139	16643,5745614038
140	13889,6105769228
141	14043,3647540981
142	71342,012345681
143	21573,4256756761
144	21587,6551724136
146	14396,9374999999
147	16310,2058823533
148	50057,7548076941
149	435,569767441858
150	30581,708333333
151	3199,80769230773
153	60401,6073717983
154	49476,0563380263
155	51760,735849055
156	58397,0569852931
157	14382,5817307697
158	21884,3928571425
159	20497,5169491527
160	30384,9499999995
161	1540,54360465119
162	18797,3590733589
163	40235,65625
164	13618,1057692306
165	24780,048295454
166	13566,6812500002
167	42244,4038461554
168	14305,2894736844
169	18460,0560344823
171	83099,2499999986
172	29668,2065217382
173	21761,1594827593
174	13943,7250000002
175	16423,4516129035
176	29073,41796875
177	66104,7892857153
178	33079,6230769232
179	28033,1249999994
180	35707,175847457
181	80716,7729166637
182	13530,6147540986
183	18511,8088235289
184	8534,14999999997
185	33404,2954545457
186	44154,0937499984
187	12843,5793269232
188	33385,3333333337
189	18611,1059322032
190	21555,5961538467
191	21087,7624999992
192	25037,21875
193	32823,671875
194	5158,94886363631
195	8664,09615384643
196	37963,0645161297
197	95584,1527777741
198	22208,1449999993
199	16886,6818181815
200	17713,46875
201	11484,5787037034
202	33769,4
203	9124,5288461537
205	17372,1557377051
206	11454,0905172413
207	16555,0041666663
208	11742,96875
209	10781,4230769234
210	17170,0657894735
211	59470,3668032763
212	20596,1525423723
213	19935,65625
214	23559,8333333327
215	14964,0952380951
216	35713,3955223889
217	21077,8421052635
218	45697,4583333323
219	27737,3979166672
220	17168,2090909097
221	32622,7392241372
222	43489,9950657884
223	18802,7499999993
224	29455,6465517234
225	30566,5921052626
226	21186,6491935486
227	97518,9044117699
228	33158,0565068509
229	132642,737704919
230	32286,2923076932
231	15077,9152542371
232	24327,8946078424
233	16950,1052631579
234	13360,3529411761
235	57260,0499999969
236	27667,0625
237	39594,227272729
238	47174,7106164394
239	64786,6416666657
240	37746,0909090912
241	17917,2040816324
242	27711,1305147071
243	17372,5736607145
244	5500,12750000002
245	4232,12671232869
246	13748,2596153844
247	30830,6081730772
248	13118,4687499998
249	10910,6617647059
250	18296,0336538463
251	371,941489361705
252	18661,2763157895
253	8905,80528846139
254	23554,4321428574
255	11836,3953488368
256	30218,1348039222
257	55057,4927536259
259	22549,4350961546
260	34530,7681818181
261	68331,5953389827
262	28703,725378789
263	17315,254716982
264	20614,4597457634
266	18703,775390625
267	35064
268	21471,3666666664
269	28440,75
270	14169,022321429
271	17267,4086538464
272	24413,4335106376
273	36428,9000000011
274	13098,2091346155
275	10636,0389344265
276	1249,77205882355
277	21481,4999999996
278	21793,1051587295
279	43129,7352941167
280	15758,4868421053
281	88249,5716911731
282	17654,9254032263
284	18116,8686440676
285	13008,5000000001
286	13495,109375
287	22865,4948979587
288	72797,7625000021
289	17739,68
290	15904,5686274506
291	32051,3873239448
293	18421,2954545459
294	41267,1897321433
295	38708,1890243912
296	33557,7103174602
297	13640,7941176467
298	21833,0600961535
299	44838,1184210517
300	72692,1125000021
301	13392,966346154
302	31758,9158653849
303	18604,8416666663
304	28527,5169491527
305	26491,7377049192
307	23165,8680555559
309	30347,7686567167
310	14960,65625
311	11163,0803571427
312	44965,4487179461
313	42943,8729166661
314	23381,7372881364
315	11379,4166666664
316	13465,7434210523
317	23662,0735294121
318	45022,8582089558
319	22625,8676470596
320	121856,223076924
321	110168,950367649
323	125964,561403509
324	13112,6666666665
325	40195,9190140826
326	31382,4772727284
327	15592,8384146338
328	10514,9818181814
329	22465,6865671635
330	21997,8461538467
331	10966,1346153845
332	18623,3833333332
333	22002,0847457622
334	616,730113636369
335	6615,54591836728
336	22654,7800000004
337	19328,1249999998
338	64745,25
339	11631,2604166669
340	23515,7950000006
341	27953,7982456135
342	396,319999999991
343	587,132500000016
344	9992,07692307677
345	34400,3157894725
346	20555,8695652177
347	20564,9668367351
348	53978,7899305534
349	449,522727272742
350	20305,5124999997
351	25812,3749999994
352	41563,9599056599
353	32559,8352272718
354	18135,3666666669
355	12055,5275000003
356	15286,7331730773
357	3083,71078431382
358	12515,1296296302
359	20055,5
360	45746,3571428577
361	21389,500000001
362	23284,1999999996
363	25483,4538461549
364	26008,5348837214
365	36604,615384615
366	60650,1111111134
367	17570,6249999999
368	18531,4855769227
369	28864,9959677415
371	27116,8358208964
372	21687,1046511624
373	34328,8461538454
374	27518,7697368422
375	27468,875
376	13409,6778846152
377	20402,3578431363
378	10892,9656862746
379	31290,4204545439
380	14545,8135593223
381	39807,2828947376
382	14349,7000000004
383	27413,4615384609
384	59228,500000001
385	21276,9409090915
386	21808,9583333335
388	22922,7978723408
389	13824,7413793103
390	14258,7692307696
391	1336,10763888891
392	20003,90625
393	15517,1567796618
394	8097,48245614043
395	28189,1875
396	19178,4038461539
397	18564,59375
398	1245,8068181818
399	11770,9150943398
400	32674,2500000012
402	14446,5625000003
403	19968,9975961541
404	15946,861842105
405	24339,9471153838
406	11174,5127118641
408	17224,4423076925
410	51983,530737703
411	30038,4661016952
412	16645,1616379312
413	14860,1509433965
414	23973,0741525429
415	22133,7346491224
416	22048,969827587
417	29611,6418269237
418	14816,0982142855
419	44508,8173076925
420	21190,8634615389
422	14934,2568181816
423	21362,4249999995
424	70131,0723684208
425	10184,4094827588
426	17994,59375
427	25679,3725961542
428	35566,7307692305
429	30004,4199999991
430	12934,5263157899
431	14408,4999999997
432	119065,484589045
433	11102,0943396227
434	25948,2403846156
436	74937,4374999997
437	19987,8095238093
439	28016,7019230777
440	20664,2127659569
441	45772,1313559308
442	49399,96875
443	23844,3625000006
444	20229,0312499991
445	44541,131355933
446	18264,1166666669
447	6352,4772727271
448	117458,703703708
449	43870,9634615408
